Id,question,answer
1,I have doubt related to the data that we need to collect for the capstone project. What kind of data do we have to collect is it necessary to be a data from store (like ecommerce)?,"Hi,

You can collect it from the store. Anything that you wish to. 
Make sure you have watched the Capstone project video before proceeding towards data collection.

-Ashwin"
2,"Hi, so the company I have contacted has provided me the details of the books. It's a very small e-commerce company, that majorly sells books. Would it be fine if I just list the SKU's in the excel sheet instead of the actual name of the book/product? 
I also do not have inventory data, nor the cost price of the books.
They have provided the selling price, time of order, time of delivery, different channels of selling etc.
Would these conditions be fine?","Hi,

You cannot fudge the details when you present the project.

The data which you have is sufficient. However, you should be able to analyze it and come with some new insights that helps the decision maker.

Best,
Ashwin"
3,"I have collected the data from a nearby Kirana store. What I could gather is the weekly profit, sales, stocks available, Purchase amount, and Selling Price of nearly 12-13 products.

Now with the available data, I have done weekly analysis based on sales and Profit but I am unable to figure out what else can I do. 

So, I just wanted to know what limit of analysis would suffice for the project. How many points for analyses should be present for the data?","Hi,

We need data for a months period. Analysis can have anything. Do use whatever has been covered in the class and try to replicate it. You will see some interesting patterns.

Best,
Ashwin"
4,"When I filled the g-form for the capstone project, I did not receive my response as per the sheet. Would it be fine for me to tweak the original research question I posted on the form, as I did not note down the exact wording and there may be some discrepancies.",Yes thats fine. Go ahead
5,"![Screenshot 2021-11-28 095153|690x273](upload://8sY4TTAVtgMSMH9EGjTyXgpJuvH.png)

What is meant by the statement **pasted as image** ? I have used overleaf to prepare the PPT for the Capstone Project, and PDF is just fine. I don't understand the paste as image part.

Please clarify @Ashwin_J .

Thanks in advance","Hi,

Just take the screenshots of those slides ans paste it after your 1 page writeup.

Hope this helps


Best,
Ashwin"
6,Do we need to give specific number for inventory (recommendation) or should we say that the shopkeeper needs to buy more? @Ashwin_J,"Hi,

You can suggest. But you also got to ask the owner why they haven't till now. It might be that there are high holding costs or could be that the shelf life is less or may be the demand is seasonal.

So before giving such recommendations you need to ask why didn't they do it in first place?

Best,
Ashwin"
7,"@Ashwin_J Dear sir

In the live session it was mentioned that we can keep the name of the Company anonymous if we wish to. This is a sincere request, since I have got the data from a trusted person under the assurance that the name will be kept confidential. Though it is a one to one session, since the data I have collected is of a reasonably established business and sensitive information, confidentiality becomes of utmost importance.  In fact the data was shared without reservations (which is present in many cases) on the assurance that the name will not be disclosed. 
As for the authenticity of data, in my view, I have sufficient information about the business which can demonstrate the same. 
Kindly consider this request, that as long as the information is holistic, names need not be disclosed.

Regards
Shreya","Ok, that is fine . In case you are asked to show this screenshot 

Best,
Ashwin"
8,"Good evening
I think I read almost all posts on this topic and I want to clarify few doubts which I wasn't able to understand properly.

1) In the presentation are we supposed to write the whole story or information in the business in brief and data collection slide or just points would be enough?
2) In the word document write up part, apart from data collection, are we supposed to write the whole information about the insights, analysis and suggestions?
3) Due to lack of space in ppt, can I paste tables in the word document and only write the conclusions in the ppt ?
4) I can't fit the whole thought process in either ppt or word document. So during viva, Can I explain the things which are not written in the document ?

Thank you","Hi,

5 slides should have the all the things I have asked in the mail.

With regard to fitting it in 5 slides, it's an art. If you browse and do a check you will find a page write up that gives the entire picture of business.

Include only the ones you believe is important and justify the same as to why you think so.

Best,
Ashwin"
9,"@ Ashwin Sir,

I have selected a partially structured manufacturing industry for my final project. This company is making cartoon box and paper core as a product. I am facing following problems during data collection and need your suggestion / guidance.
1. Only sales / purchase value against each invoice is available in soft.
2. All other value is manually kept, that means if i want to know what is the product is sold in a particular sales bill, i have to note its voucher number and manually search that voucher to find other details about that particular sale, same is true for purchase.
3. This company have huge variation of product. 

Under the above circumstances, i decided to select those product which contributes more than 80 % of the revenue, and collect all necessary data based on that. 
Am i doing the right thing? Kindly guide me, bcoz if the first step is not right then i may go to a complete wrong direction. 
Second thing, an u suggest some intelligent way to tackle this company, particularly the data collection part, how to go forward from this point.

Regards,

Samit Sen","Hi Samit,

You can do this as this falls under ""Decision Making Under Uncertainty""

When your viva happens, you can mention to the examiner, that you are presenting only the select data, due to unavailability. There is nothing right or wrong here, as you are analysing on the basis of the information you have at hand.

What you can actually do is, carry out some analysis and show to the people where you got the data from. If they are convinced, there is a chance they would give you more information.

Once week 7 and 8 gets over, you are likely to get more ideas as to how you got to proceed. For now, its a good start.

Best,
Ashwin"
10,can we use power BI for capstone project?,"You can use any tools to analyze your data. What i as an examiner look for is the quality of your analysis and your interpretation.

Even a simple excel works.

Best,
Ashwin"
